Event_num,,Start,Dur,Amp,Freq,FModA,ixA1,ixA2,FModB,ixB1 (always 0),ixB2,att,dec,skew,dis,rev,,,,,,ch1,ch2,ch3,ch4,,,ampF,skwF,IAF,IBF,,,,,,,
83,i1,270.6630435,37.02902765,461.045559,1112.805518,425.0594034,0.722289818,1.444579637,687.7461147,0,3.444579637,4.312333812,18.13824888,0.025819445,0.222222222,0.04,0,0,0,0,0,0,0,0.516982126,0.855996192,0,0,2,6,3,4,,,,,,,
84,i1,272.4565217,42.50971706,551.8481324,651.9599503,249.0297748,0.843702261,1.687404522,402.9301756,0,3.687404522,3.419708375,22.21671305,0.032155084,0.222222222,0.04,0,0,0,0,0,0.55449454,0,0,0.832187362,0,0,2,6,3,4,,,,,,,
85,i1,275.4456522,46.55434783,479.569329,999.9530284,381.9530284,0.747305228,1.494610457,618,0,3.494610457,5.048511241,23.13952767,0.027097086,0.222222222,0.04,0,0,0,0,0,0.953914178,0,0,0.300079557,0,0,2,6,3,4,,,,,,,
86,i1,309,5.115342818,604.0281892,180.7114495,292.3911253,0.456116386,1.824465543,292.3911253,0,3.824465543,0.323863034,2.755181712,0.035870262,0.285714286,0.03,0,0,0,0,0,0.670686957,0,0,0.741740525,0,0,2,6,3,4,,,,,,,
87,i1,313.8043478,11.9155309,612.5638031,171.3033413,277.1688063,0.461684319,1.846737274,277.1688063,0,3.846737274,0.72382804,6.446623894,0.036482452,0.285714286,0.03,0,0,0,0,0,0.933662206,0,0,0.358154835,0,0,2,6,3,4,,,,,,,
88,i1,314.9130435,19.91935263,479.5481244,382,1000.076,0.373638335,1.494553339,618.076,0,3.494553339,2.160300823,9.900619953,0.027095618,0.285714286,0.03,0,0,0,0,0,0.829539098,0.558448641,0,0,0,0,2,6,3,4,,,,,,,
89,i1,316.7608696,28.30922581,586.8180482,201.1061444,325.3897417,0.444859284,1.779437136,325.3897417,0,3.779437136,1.944446429,15.10495867,0.034639593,0.285714286,0.03,0,0,0,0,0,0.472262215,0.88145811,0,0,0,0,2,6,3,4,,,,,,,
90,i1,316.7608696,1.1676326,551.8277917,249.0603998,402.9797269,0.421837692,1.687350769,402.9797269,0,3.687350769,0.388821656,0.46705304,0.032153646,0.285714286,0.036,0,0,0,0,0,0.670686957,0,0,0.741740525,0,0,2,6,3,4,,,,,,,
91,i1,317.3911251,2.785853728,569.4189765,223.8025396,362.1125091,0.433435034,1.733740137,362.1125091,0,3.733740137,0.927689291,1.114341491,0.033400642,0.285714286,0.036,0,0,0,0,0,0.933662206,0,0,0.358154835,0,0,2,6,3,4,,,,,,,
92,i1,317.7789746,4.626309603,578.1423648,212.1510449,343.2603907,0.439168444,1.756673775,343.2603907,0,3.756673775,1.540561098,1.850523841,0.034021141,0.285714286,0.036,0,0,0,0,0,0.829539098,0.558448641,0,0,0,0,2,6,3,4,,,,,,,
93,i1,318.7970797,6.369646507,525.0782741,292.3911253,765.4799659,0.404106576,1.616426306,473.0888407,0,3.616426306,2.121092287,2.547858603,0.030268952,0.285714286,0.036,0,0,0,0,0,0.472262215,0.88145811,0,0,0,0,2,6,3,4,,,,,,,
94,i1,318.9425233,8.445568806,516.0655494,308.4494654,807.5207005,0.398105066,1.592420266,499.0712351,0,3.592420266,2.812374412,3.378227522,0.029637224,0.285714286,0.036,0,0,0,0,0,0,0.855057887,0.518532555,0,0,0,2,6,3,4,,,,,,,
95,i1,319.1849293,10.56135903,516.0655494,308.4494654,807.5207005,0.398105066,1.592420266,499.0712351,0,3.592420266,3.516932557,4.224543612,0.029637224,0.285714286,0.036,0,0,0,0,0,0,0.460198732,0.887815931,0,0,0,2,6,3,4,,,,,,,
96,i1,319.8151848,12.45018144,525.0782741,292.3911253,765.4799659,0.404106576,1.616426306,473.0888407,0,3.616426306,4.145910419,4.980072576,0.030268952,0.285714286,0.036,0,0,0,0,0,0,0,0.815341924,0.578979746,0,0,2,6,3,4,,,,,,,
97,i1,320.2030344,14.47756026,578.1423648,212.1510449,343.2603907,0.439168444,1.756673775,343.2603907,0,3.756673775,4.821027567,5.791024104,0.034021141,0.285714286,0.036,0,0,0,0,0,0,0,0.300079557,0.953914178,0,0,2,6,3,4,,,,,,,
98,i1,321.2211394,15.85494753,569.4189765,223.8025396,362.1125091,0.433435034,1.733740137,362.1125091,0,3.733740137,5.279697526,6.34197901,0.033400642,0.285714286,0.036,0,0,0,0,0,0.715849373,0,0,0.698254735,0,0,2,6,3,4,,,,,,,
99,i1,324.5217391,34.22193893,516.0655494,308.4494654,807.5207005,0.398105066,1.592420266,499.0712351,0,3.592420266,3.205561102,17.46897196,0.029637224,0.285714286,0.03,0,0,0,0,0,0.358658507,0.93346884,0,0,0,0,2,6,3,4,,,,,,,
